WPUJC Vaas,45,SL,439,,761,,,,,,
CA Walsh,59,WI,337,,746,,,,,,
B Lee,47,AUS,322,,718,,,,,,
MA Starc,33,AUS,290,,714,,,,,,
Shakib Al Hasan,36,BAN,447,,712,,,,,,
Harbhajan Singh,43,IND,367,,711,,,,,,
DL Vettori,44,NZ,442,,705,,,,,,
DW Steyn,40,SA,265,,699,,,,,,
N Kapil Dev,64,IND,356,,687,,,,,,
M Ntini,46,SA,284,,662,,,,,,
CEL Ambrose,60,WI,274,,630,,,,,,
TA Boult,34,NZ,253,,611,,,,,,
Z Khan,45,IND,309,,610,,,,,,
RA Jadeja,39,IND,359,,609,,,,,,
AA Donald,56,SA,236,,602,,,,,,
MG Johnson,41,AUS,256,,590,,,,,,
Sir RJ Hadlee,73,NZ,201,,589,,,,,,
NM Lyon,35,AUS,169,,586,,,,,,
JH Kallis,48,SA,519,,577,,,,,,
K Rabada,28,SA,242,,575,,,,,,
J Srinath,49,IND,296,,551,,,,,,
SL Malinga,40,SL,340,,546,,,,,,
Imran Khan,60,PAK,263,,544,,,,,,
M Morkel,38,SA,247,,544,,,,,,
Shahid Afridi,43,PAK,524,,541,,,,,,
MD Marshall,56,WI,217,,533,,,,,,
IT Botham,67,ENG,218,,528,,,,,,
HMRKB Herath,45,SL,181,,525,,,,,,
PJ Cummins,34,AUS,216,,513,,,,,,
Saqlain Mushtaq,46,PAK,218,,496,,,,,,
CJ McDermott,59,AUS,209,,494,,,,,,
JR Hazlewood,37,AUS,217,,493,,,,,,
D Gough,49,ENG,219,,467,,,,,,
Mohammed Shami,33,IND,197,,462,,,,,,
DK Lillee,73,AUS,133,,458,,,,,,
HH Streak,53,ZIM,254,,455,,,,,,
JJ Bumrah,29,IND,205,,448,,,,,,
Saeed Ajmal,36,PAK,212,,447,,,,,,
Shoaib Akhtar,47,PAK,224,,444,,,,,,
ST Jayasuriya,54,SL,586,,440,,,,,,
I Sharma,36,IND,199,,434,,,,,,
Umar Gul,39,PAK,237,,427,,,,,,
CL Cairns,44,NZ,279,,420,,,,,,
KAJ Roach,35,WI,191,,419,,,,,,
AU Rashid,34,ENG,298,,419,,,,,,
GP Swann,43,ENG,178,,410,,,,,,
Rashid Khan,25,AFG,216,,405,,,,,,
J Garner,66,WI,156,,405,,,,,,
RGD Willis,73,ENG,154,,405,,,,,,
JN Gillespie,48,AUS,169,,402,,,,,,
A Flintoff,45,ENG,227,,400,,,,,,
MA Holding,66,WI,162,,391,,,,,,
JO Holder,35,WI,274,,390,,,,,,
Mashrafe Mortaza,39,BAN,310,,390,,,,,,
Abdul Razzaq,46,PAK,343,,389,,,,,,
CR Woakes,34,ENG,213,,386,,,,,,
Abdul Qadir,56,PAK,171,,368,,,,,,
MM Ali,35,ENG,298,,366,,,,,,
DJ Bravo,39,WI,295,,363,,,,,,
AB Agarkar,46,IND,221,,349,,,,,,
Mushtaq Ahmed,55,PAK,196,,346,,,,,,
Shaheen Shah Afridi,33,PAK,174,,345,,,,,,
Mustafizur Rahman,28,BAN,231,,339,,,,,,
Mehidy Hasan Miraz,26,BAN,190,,331,,,,,,
DL Underwood,81,ENG,112,,329,,,,,,
KD Mills,42,NZ,231,,327,,,,,,
MJ Santner,33,NZ,257,,320,,,,,,
BA Stokes,34,ENG,269,,318,,,,,,
KMDN Kulasekara,41,SL,263,,313,,,,,,
MJ Henry,29,NZ,142,,312,,,,,,
LR Gibbs,65,WI,82,,311,,,,,,
FS Trueman,58,ENG,67,,307,,,,,,
CL Hooper,56,WI,329,,307,,,,,,
Kuldeep Yadav,28,IND,166,,306,,,,,,
CRD Fernando,47,SL,205,,305,,,,,,
A Zampa,30,AUS,206,,304,,,,,,
AR Caddick,49,ENG,116,,303,,,,,,
AS Joseph,32,WI,161,,303,,,,,,
SJ Harmison,44,ENG,123,,303,,,,,,
IK Pathan,39,IND,173,,301,,,,,,
KAJ Maharaj,33,SA,145,,295,,,,,,
B Kumar,31,IND,229,,294,,,,,,
Imran Tahir,44,SA,165,,293,,,,,,
BKV Prasad,52,IND,194,,292,,,,,,
SR Watson,43,AUS,307,,291,,,,,,
JE Taylor,40,WI,166,,291,,,,,,
AME Roberts,50,WI,103,,289,,,,,,
BAW Mendis,38,SL,145,,288,,,,,,
UT Yadav,33,IND,141,,288,,,,,,
RAS Lakmal,36,SL,167,,288,,,,,,
SR Waugh,48,AUS,493,,287,,,,,,
DK Morrison,56,NZ,144,,286,,,,,,
Mohammad Nabi,38,AFG,308,,281,,,,,,
